Nearest Neighbours,,
Inst-0.tsp,,
Initial Cost,Final Cost,Improvement
18136594.0533079,17863542.8075668,273051.245741073
16948341.0102145,16331125.3255358,617215.684678668
16513658.2441871,16215321.6674935,298336.576693626
16461635.5312994,16222686.0886551,238949.442644253
18574533.2793551,18238902.0106522,335631.26870288
,,
Inst-13.tsp,,
Initial Cost,Final Cost,Improvement
31072561.8610974,31062310.2443217,10251.6167756505
21169804.355397,21073807.9352325,95996.4201645479
23529552.0979851,23521441.234989,8110.8629960604
26571078.886075,26167319.6813496,403759.204725403
25978437.9733344,25826622.8450977,151815.128236685
,,
Random Tours,,
Inst-0.tsp,,
24735561.0317267,23306061.455557,1429499.57616972
23378949.1795836,23078402.3625042,300546.81707935
24867417.9978465,24400902.7136711,466515.284175392
24170780.4999632,23605443.9901207,565336.50984247
23743416.4621393,23228740.3763038,514676.085835557
,,
Inst-13.tsp,,
125348764.957291,120386849.647095,4961915.31019661
118723399.404659,109051139.925625,9672259.47903374
125158145.703163,118730661.374305,6427484.32885797
122812651.194604,108667505.301562,14145145.8930418
122048094.867502,119480207.558185,2567887.30931674
